food_name,time,url
Vegaaninen joulukranssi,yli 60 min,https://public.keskofiles.com/f/recipe/Vegaaninen_joul_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Suklaajäädyke,yli 60 min,https://public.keskofiles.com/f/recipe/Suklaajaadyke_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Vaniljariisi ja inkivääripäärynät,yli 60 min,https://public.keskofiles.com/f/recipe/Vaniljariisi_ja_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Vaahtokarkkipiparit,alle 30 min,https://public.keskofiles.com/f/recipe/Vaahtokarkkipip_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kalkkunafilee,yli 60 min,https://public.keskofiles.com/f/recipe/Kalkkunafilee_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Mätisipsit,alle 15 min,https://public.keskofiles.com/f/recipe/Matisipsit_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Jouluinen herkkutarjotin,alle 15 min,https://public.keskofiles.com/f/recipe/Holiday_platt_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Taatelijuustokakku,yli 60 min,https://public.keskofiles.com/f/recipe/Taatelijuustoka_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Omenasiideri-cocktail,30 - 60 min,https://public.keskofiles.com/f/recipe/Omenasiideri_co_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kuhaceviche,yli 60 min,https://public.keskofiles.com/f/recipe/Kuhaceviche_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Ruusukaalicaesar,alle 30 min,https://public.keskofiles.com/f/recipe/Ruusukaalicaes_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Lasimestarin silakka,yli 60 min,https://public.keskofiles.com/f/recipe/lasimestarin_sila_KR9_21?w=400&h=225&fit=crop&q=60&fm=jpg
Hatsapurillo ja adjika,alle 30 min,https://public.keskofiles.com/f/recipe/hatsapurillo_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Riisisuklaapalat,yli 60 min,https://public.keskofiles.com/f/recipe/Riisisuklaapalat_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Karpalokinkku,30 - 60 min,https://public.keskofiles.com/f/recipe/Karpalokinkku_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Taatelipallot,alle 30 min,https://public.keskofiles.com/f/recipe/Taatelipallot_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Lanttulaatikkopannarit,30 - 60 min,https://public.keskofiles.com/f/recipe/Lanttulaatikkop_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Appelsiini-kinuskikakku,yli 60 min,https://public.keskofiles.com/f/recipe/Appelsiini_kinu_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Polkamuffinit,30 - 60 min,https://public.keskofiles.com/f/recipe/Polkkamuffinit_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Piparkakkutalo purkissa,yli 60 min,https://public.keskofiles.com/f/recipe/Piparkakkutalo_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Piparkakut vohveliraudalla,30 - 60 min,https://public.keskofiles.com/f/recipe/Piparkakut_voh_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Päärynä-fetapiirakka,yli 60 min,https://public.keskofiles.com/f/recipe/Paaryna_fetapii_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kokonaisena paahdettu juuriselleri,yli 60 min,https://public.keskofiles.com/f/recipe/Kokonaisena_pa_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Rypälecrostinit,30 - 60 min,https://public.keskofiles.com/f/recipe/Rypalecrostini_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Persimonkakku,yli 60 min,https://public.keskofiles.com/f/recipe/Persimonikakku_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Glögiskumppa,alle 15 min,https://public.keskofiles.com/f/recipe/glogiskumppa_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Fazerina-banoffee,alle 30 min,https://public.keskofiles.com/f/recipe/Fazerina_banof_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Persimonhillo,yli 60 min,https://public.keskofiles.com/f/recipe/Persimonhillo_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Kylmäsavulohipizza,yli 60 min,https://public.keskofiles.com/f/recipe/Kylmasavulohi_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Chorizo-perunasalaatti,30 - 60 min,https://public.keskofiles.com/f/recipe/Chorizo_perunas_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Klementiinigraavattu kirjolohi,yli 60 min,https://public.keskofiles.com/f/recipe/Klementiinigra_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Karpalokana,30 - 60 min,https://public.keskofiles.com/f/recipe/Karpalokana_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Pähkinäkierteet,yli 60 min,https://public.keskofiles.com/f/recipe/Pahkinakierteet_KR11_21?w=400&h=225&fit=crop&q=60&fm=jpg
Paistetut satsumat,alle 15 min,https://public.keskofiles.com/f/recipe/Paistetut_satsu_KR10_21?w=400&h=225&fit=crop&q=60&fm=jpg
Antipastolautanen,alle 15 min,https://public.keskofiles.com/f/recipe/Antipasto_KR8_21?w=400&h=225&fit=crop&q=60&fm=jpg
Päärynäcarpaccio,alle 15 min,https://public.keskofiles.com/f/recipe/Paarynacarpacci_KR10_21?w=400&h=225&fit=crop&q=60&fm=jpg
Loimulohirieskat,30 - 60 min,https://public.keskofiles.com/f/recipe/Loimulohirieskat_KR9_21?w=400&h=225&fit=crop&q=60&fm=jpg
Piparkakkurahka,alle 15 min,https://public.keskofiles.com/f/recipe/Piparkakkurahka_KR12_21?w=400&h=225&fit=crop&q=60&fm=jpg
Marinoidut oliivit,yli 60 min,https://public.keskofiles.com/f/recipe/marinoidut_oliiv_KR5_21?w=400&h=225&fit=crop&q=60&fm=jpg
Lihapasteijat,30 - 60 min,https://public.keskofiles.com/f/recipe/lihapasteijat_KR4_21?w=400&h=225&fit=crop&q=60&fm=jpg
